Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
Aditya Birla SL Business Cycle FundNAReg(G),Equity : Thematic,Harish krishnan,Open Ended,BSE 500 NA TRI,1688.0,2.15,14.39,7.63,13.69,15.835,10.335,20.84,143273,3.105,2.595,7.065,0.15,0.17,0.34,0.94,13.9,3
Aditya Birla SL Conglomerate FundNAReg(G),Equity : Thematic,Harish krishnan,Open Ended,BSE Select Business Groups Index NA TRI,1459.2,2.07,10.03,8.43,12.555,15.835,10.335,20.84,199932,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Corp Bond Fund(G),Debt : Corporate Bond,Kaustubh Gupta,Open Ended,NIFTY Corporate Bond Index,24570.3,0.51,112.27,10.15,7.61,7.26,7.86,0.0,160311,4.79,3.46,7.31,0.14,0.74,1.03,0.38,1.32,28
Aditya Birla SL Credit Risk FundNAReg(G),Debt : Credit Risk,Sunaina da Cunha,Open Ended,CRISIL Credit Risk Debt Index,969.6,1.54,22.0,17.12,10.64,9.95,8.15,0.0,160311,3.83,2.46,8.29,0.41,0.61,1.71,0.32,2.99,9
Aditya Birla SL CRISIL 10 Year Gilt ETF,Debt : ETFs,Bhupesh Bameta,Open Ended,Crisil 10 Yr Gilt Index,88.1,0.2,108.25,8.43,12.555,15.835,10.335,0.0,160311,9.48,6.7,6.69,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISIL Broad Based Gilt ETF,Debt : ETFs,Kaustubh Gupta,Open Ended,CRISIL Broad Based Gilt Index,44.6,0.19,109.6,8.43,12.555,15.835,10.335,0.0,160311,11.63,6.74,6.73,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Mohit Sharma,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA April 2028,362.9,0.35,12.35,9.98,12.555,15.835,10.335,0.0,160311,2.97,2.59,6.74,0.12,0.89,1.38,0.53,1.41,2
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU NA Apr 2025 Index FundNAReg(G),Debt : Medium Duration,Mohit Sharma,Open Ended,CRISIL IBX 60:40 SDL + AAA PSU Index NA April 2025,135.6,0.35,11.87,6.93,6.08,15.835,10.335,0.0,160311,0.04,0.04,6.74,0.04,0.38,0.5,0.34,1.48,3
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU NA Apr 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Mohit Sharma,Open Ended,CRISIL IBX 60:40 SDL + AAA PSU Index NA April 2027,1598.9,0.32,12.04,8.78,6.9,15.835,10.335,0.0,160311,1.7,1.54,6.98,0.01,0.36,0.52,0.57,2.02,3
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index FundNAReg(G),Debt : Banking & PSU,Bhupesh Bameta,Open Ended,CRISIL IBX 60:40 SDL + AAA PSU Index NA April 2026,51.0,0.45,11.82,7.88,12.555,15.835,10.335,0.0,160311,0.88,0.82,6.9,0.16,1.26,1.06,0.23,0.71,2
Aditya Birla SL CRISIL IBX Gilt NA April 2026 Index FundNAReg(G),Debt : Medium Duration,Bhupesh Bameta,Open Ended,CRISIL IBX Gilt Index NA April 2026,248.9,0.36,12.04,7.86,12.555,15.835,10.335,0.0,160311,1.0,0.93,6.51,0.14,1.03,1.13,0.31,0.95,2
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Bhupesh Bameta,Open Ended,CRISIL IBX Gilt Index NA April 2028,23.4,0.79,11.73,9.16,12.555,15.835,10.335,0.0,160311,2.58,2.29,6.54,0.09,0.89,1.25,0.44,1.14,2
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index FundNAReg(G),Debt : Gilt,Harshil Suvarnkar,Open Ended,CRISIL IBX Gilt Index NA April 2029,670.0,0.37,12.46,10.83,12.555,15.835,10.335,0.0,160311,4.0,3.37,6.57,0.09,0.82,1.49,0.67,1.69,2
Aditya Birla SL CRISIL IBX Gilt April 2033 Index FundNAReg(G),Debt : Long Duration,Bhupesh Bameta,Open Ended,CRISIL IBX Gilt Index NA April 2033,80.7,0.47,11.48,12.18,12.555,15.835,10.335,0.0,160311,7.74,5.82,6.7,0.02,0.97,1.71,0.9,1.91,1
Aditya Birla SL CRISIL IBX Gilt June 2027 Index FundNAReg(G),Debt : Gilt,Bhupesh Bameta,Open Ended,CRISIL IBX Gilt Index NA June 2027,114.7,0.56,10.8,8.43,12.555,15.835,10.335,0.0,160311,2.17,1.94,6.53,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index FundNAReg(G),Debt : Long Duration,Bhupesh Bameta,Open Ended,CRISIL IBX SDL Index NA June 2032,162.0,0.57,12.24,11.47,12.555,15.835,10.335,0.0,160311,6.82,5.21,6.97,0.06,0.72,1.38,0.8,2.15,2
Aditya Birla SL CRISIL Liquid Overnight ETF,Debt : Overnight,Sanjay Pawar,Open Ended,CRISIL Liquid Overnight Index,58.6,0.43,1000.0,6.07,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,6.88,0.72,0.99,0.09,2
Aditya Birla SL CRISILNAIBX AAA Financial Services IndexNASep 2027 FundNAReg(G),Debt : Medium to Long Duration,Harshil Suvarnkar,Open Ended,CRISIL IBX AAA Financial Services Index NA Sep 2027,85.7,0.44,10.43,8.43,12.555,15.835,10.335,0.0,160311,2.25,1.9,7.59,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISILNAIBX AAA NBFCNAHFC IndexNADec 2025 FundNAReg(G),Debt : Short Duration,Sanjay Godambe,Open Ended,CRISILNAIBX AAA NBFCNAHFC Index NA Dec 2025,407.4,0.4,10.42,8.43,12.555,15.835,10.335,0.0,160311,0.63,0.58,7.46,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISILNAIBX AAA NBFCNAHFC IndexNASep 2026 FundNAReg(G),Debt : Short Duration,Harshil Suvarnkar,Open Ended,CRISILNAIBX AAA NBFCNAHFC Index NA Sep 2026,276.6,0.45,10.48,8.43,12.555,15.835,10.335,0.0,160311,1.31,1.15,7.73,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISILNAIBX Financial Services 3 to 6 Months Debt Index FundNAReg(G),Debt : Ultra Short Duration,Harshil Suvarnkar,Open Ended,CRISILNAIBX Financial Services 3 to 6 Months Debt Index,3434.6,0.36,10.3,8.43,12.555,15.835,10.335,0.0,160311,0.37,0.35,7.33,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL CRISILNAIBX Financial Services 9NA12 Months Debt Index FundNAReg(G),Debt : Low Duration,Sanjay Pawar,Open Ended,CRISILNAIBX Financial Services 9NA12 Months Debt Index,740.6,0.35,10.13,8.43,12.555,15.835,10.335,0.0,160311,0.93,0.9,7.31,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Debt Plus Arbitrage FOFNAReg(G),FoFs : Domestic,Kaustubh Gupta,Open Ended,CRISIL Composite Bond Index,120.8,0.62,37.16,9.39,7.04,6.69,6.87,20.84,160311,3.105,2.595,7.065,0.11,0.65,0.96,0.45,1.26,18
Aditya Birla SL Digital India Fund(G),Equity : Sectoral NA Technology,Kunal Sangoi,Open Ended,BSE TECk Index NA TRI,4530.2,1.9,158.99,4.52,8.4,27.28,17.02,38.0,155404,3.105,2.595,7.065,0.15,0.05,0.09,1.0,18.78,25
Aditya Birla SL Dividend Yield Fund(G),Equity : Thematic NA Dividend Yield,Dhaval Gala,Open Ended,NIFTY 500 NA TRI,1403.9,2.23,421.73,1.03,19.52,25.85,11.95,34.0,137413,3.105,2.595,7.065,0.32,0.26,0.49,1.0,15.48,22
Aditya Birla SL Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Mohit Sharma,Open Ended,NIFTY Composite Debt Index,1766.6,1.23,46.36,11.79,8.8,8.18,6.55,0.0,160311,14.64,7.59,7.33,0.15,0.5,1.29,0.66,2.64,20
Aditya Birla SL ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),Dhaval Shah,Open Ended,NIFTY 500 NA TRI,14461.9,1.71,56.43,6.54,12.1,14.96,10.34,27.0,190314,3.105,2.595,7.065,0.15,0.15,0.29,0.91,13.55,17
Aditya Birla SL Equity Advantage Fund(G),Equity : Large & Mid Cap,Vishal Gajwani,Open Ended,NIFTY LargeMidcap 250 NA TRI,5410.4,1.93,841.65,4.33,10.67,19.77,11.62,39.0,119126,3.105,2.595,7.065,0.15,0.1,0.17,1.05,16.32,30
Aditya Birla SL Equity Hybrid 95 Fund(G),Hybrid : Equity Oriented,Chanchal Khandelwal,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,7192.7,1.86,1456.77,8.31,10.98,17.99,10.26,63.0,234243,5.66,4.01,7.43,0.15,0.15,0.26,1.11,11.12,30
Aditya Birla SL Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Lovelish Solanki,Open Ended,NIFTY 50 Equity Savings Index NA TRI,631.6,1.11,21.5,7.93,8.02,10.51,7.66,674.0,299511,4.29,3.35,6.99,0.05,0.19,0.32,0.32,4.81,10
Aditya Birla SL ESG Integration Strategy FundNAReg(G),Equity : Thematic,Chanchal Khandelwal,Open Ended,NIFTY100 ESG NA TRI,605.0,2.45,16.93,13.55,11.73,15.835,10.335,20.84,190902,3.105,2.595,7.065,0.15,0.11,0.2,1.03,15.8,4
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),FoFs : Domestic,Vinod Narayan Bhat,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,208.7,1.2,51.4,9.68,15.36,18.9,12.23,20.84,160311,3.105,2.595,7.065,0.14,0.26,0.51,1.08,10.7,13
Aditya Birla SL Financial Planning FOF Conservative Plan(G),FoFs : Domestic,Vinod Narayan Bhat,Open Ended,CRISIL Short Term Debt Hybrid 75+25 Index,15.1,0.97,33.58,10.55,11.57,12.46,8.95,20.84,160311,3.105,2.595,7.065,0.12,0.38,0.83,1.15,4.97,13
Aditya Birla SL Financial Planning FOF Moderate Plan(G),FoFs : Domestic,Vinod Narayan Bhat,Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,35.5,1.14,41.02,10.44,13.52,15.65,10.53,20.84,160311,3.105,2.595,7.065,0.21,0.3,0.62,1.29,7.76,13
Aditya Birla SL Flexi Cap Fund(G),Equity : Flexi Cap,Harish krishnan,Open Ended,NIFTY 500 NA TRI,21667.6,1.69,1710.02,10.61,15.8,22.53,13.76,42.0,185531,3.105,2.595,7.065,0.02,0.2,0.37,0.95,14.09,26
Aditya Birla SL Floating Rate Fund(G),Debt : Floater,Kaustubh Gupta,Open Ended,NIFTY Low Duration Debt Index,13274.9,0.43,344.01,8.38,7.26,6.64,7.39,0.0,160311,1.99,1.07,7.5,0.12,1.29,0.99,0.7,0.69,16
Aditya Birla SL Focused Fund(G),Equity : Large Cap,Kunal Sangoi,Open Ended,NIFTY 500 NA TRI,7359.9,1.84,135.98,9.79,15.47,21.13,12.49,34.0,300737,3.105,2.595,7.065,0.06,0.21,0.42,0.88,13.15,19
Aditya Birla SL Frontline Equity Fund(G),Equity : Large Cap,Mahesh Patil,Open Ended,NIFTY 100 NA TRI,28105.7,1.66,507.67,9.79,15.46,21.94,12.29,48.0,316114,3.105,2.595,7.065,0.15,0.21,0.41,0.94,13.14,22
Aditya Birla SL GNASec Fund(G),Debt : Gilt,Bhupesh Bameta,Open Ended,Nifty All Duration GNASec Index,1972.0,1.14,82.31,11.98,7.84,6.39,7.99,0.0,160311,29.96,11.74,7.01,0.15,0.36,0.72,0.83,2.81,25
Aditya Birla SL Gold ETF,Gold : ETFs,Sachin Wankhede,Open Ended,GoldNAIndia,1109.8,0.47,83.26,31.0,20.52,13.99,12.4,20.84,160311,3.105,2.595,7.065,0.82,0.34,0.85,1.4,12.5,13
Aditya Birla SL Gold Fund(G),Gold : MFs,Priya Sridhar,Open Ended,GoldNAIndia,554.9,0.52,27.75,28.98,20.5,12.82,12.08,20.84,160311,3.105,2.595,7.065,0.83,0.35,0.92,1.22,11.87,13
Aditya Birla SL Income Fund(G),Debt : Medium to Long Duration,Bhupesh Bameta,Open Ended,CRISIL Medium to Long Term Debt Index,2242.2,1.16,125.78,10.91,7.21,6.86,7.14,0.0,160311,16.07,6.61,7.1,0.15,0.37,0.68,0.72,2.31,29
Aditya Birla SL India GenNext Fund(G),Equity : Thematic NA Consumption,Chanchal Khandelwal,Open Ended,Nifty India Consumption NA TRI,5612.9,1.87,207.85,9.78,16.03,22.16,14.95,15.0,148097,3.105,2.595,7.065,0.15,0.22,0.42,0.91,14.11,19
Aditya Birla SL Infrastructure Fund(G),Equity : Sectoral NA Infrastructure,Mahesh Patil,Open Ended,Nifty Infrastructure NA TRI,1059.5,2.31,86.77,8.43,21.11,30.34,12.97,49.0,68914,3.105,2.595,7.065,0.11,0.26,0.48,1.01,17.93,19
Aditya Birla SL Intl. Equity Fund(G),Equity : International,Dhaval Joshi,Open Ended,S&P Global 1200,192.9,2.54,36.98,14.43,8.4,11.16,7.69,64.0,160311,3.105,2.595,7.065,0.15,0.08,0.14,0.6,15.36,17
Aditya Birla SL Inv IncNAQS INAReg(G),Debt : FTP/FMP,Mohit Sharma,Interval,CRISIL Liquid Debt Index,28.8,1.04,33.6,6.97,7.16,5.66,6.12,0.0,160311,0.11,2.595,7.065,0.19,1.96,0.96,0.28,0.45,17
Aditya Birla SL Liquid Fund(G),Debt : Liquid,Kaustubh Gupta,Open Ended,Nifty Liquid Fund Index,41051.5,0.34,416.35,7.29,6.83,5.46,6.3,0.0,160311,0.19,0.19,7.2,0.16,2.37,0.96,0.31,0.32,21
Aditya Birla SL Long Duration FundNAReg(G),Debt : Long Duration,Harshil Suvarnkar,Open Ended,NIFTY Long Duration Debt Index,150.4,1.09,12.91,12.88,12.555,15.835,10.335,0.0,160311,26.52,10.6,7.01,0.01,0.49,1.18,1.08,3.12,2
Aditya Birla SL Low Duration Fund(G),Debt : Low Duration,Kaustubh Gupta,Open Ended,NIFTY Low Duration Debt Index,11919.0,1.19,649.52,7.52,6.54,6.03,6.74,0.0,160311,1.19,0.94,7.48,0.07,1.11,0.86,0.66,0.62,26
Aditya Birla SL Medium Term PlanNAReg(G),Debt : Medium Duration,Sunaina da Cunha,Open Ended,CRISIL Medium Duration Debt Index,2206.1,1.56,39.39,14.53,14.26,13.73,8.65,0.0,160311,4.9,3.63,7.89,0.55,0.32,2.24,0.85,9.41,16
Aditya Birla SL Mfg. Equity FundNAReg(G),Equity : Thematic NA Consumption,Harish krishnan,Open Ended,BSE India Manufacturing Index NA TRI,1086.5,2.28,29.27,1.2,14.84,20.53,11.59,39.0,58701,3.105,2.595,7.065,1.79,0.19,0.34,0.98,15.97,10
Aditya Birla SL Midcap Fund(G),Equity : Mid Cap,Vishal Gajwani,Open Ended,Nifty Midcap 150 NA TRI,5502.1,1.92,728.35,6.8,16.34,27.64,13.49,51.0,49465,3.105,2.595,7.065,0.15,0.2,0.38,0.91,16.43,22
Aditya Birla SL MNC FundNAReg(G),Equity : Thematic NA MNC,Chanchal Khandelwal,Open Ended,NIFTY MNC NA TRI,3371.4,2.04,1229.29,1.82,9.16,12.22,7.94,15.0,40757,3.105,2.595,7.065,0.15,0.11,0.21,0.93,14.35,25
Aditya Birla SL Money Manager Fund(G),Debt : Money Market,Kaustubh Gupta,Open Ended,CRISIL Money Market Index,25581.0,0.35,366.09,8.0,7.19,6.21,6.92,0.0,160311,0.76,0.75,7.35,0.14,1.6,0.99,0.59,0.55,19
Aditya Birla SL Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Dhaval Gala,Open Ended,BSE 200,3821.1,1.84,14.22,11.59,12.555,15.835,10.335,0.0,205103,1.7,1.54,7.35,0.3,0.41,0.94,0.64,8.43,2
Aditya Birla SL MultiNACap FundNAReg(G),Equity : Multi Cap,Abhinav Khandelwal,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,5893.8,1.86,18.28,6.35,15.06,15.835,10.335,52.0,92237,3.105,2.595,7.065,0.15,0.19,0.35,0.91,14.66,3
Aditya Birla SL MultiNAIndex FoFNAReg(G),FoFs : Domestic,Vinod Narayan Bhat,Open Ended,NIFTY 500 NA TRI,18.3,0.62,15.18,8.95,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.43,0.41,0.96,0.63,8.72,2
Aditya Birla SL Nifty 200 Momentum 30 ETF,Equity : ETFs,Priya Sridhar,Open Ended,Nifty200 Momentum 30 NA TRI,43.1,0.29,29.64,8.43,12.555,15.835,10.335,20.84,162593,3.105,2.595,7.065,0.15,0.2,0.36,1.0,18.63,2
Aditya Birla SL Nifty 200 Quality 30 ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY200 Quality 30 NA TRI,28.7,0.29,20.36,7.34,12.555,15.835,10.335,20.84,173550,3.105,2.595,7.065,0.15,0.2,0.38,1.0,12.96,2
Aditya Birla SL Nifty 50 Equal Weight Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,NIFTY50 Equal Weight NA TRI,360.7,1.02,16.94,6.48,15.58,15.835,10.335,45.0,276397,3.105,2.595,7.065,0.15,0.22,0.43,1.0,13.91,3
Aditya Birla SL Nifty 50 ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY 50 NA TRI,3062.3,0.04,28.02,8.73,13.73,21.09,12.69,1.0,541619,3.105,2.595,7.065,0.15,0.18,0.37,1.0,13.01,13
Aditya Birla SL Nifty 50 Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,NIFTY 50 NA TRI,994.7,0.47,244.92,8.25,13.11,20.33,11.72,12.0,541626,3.105,2.595,7.065,0.15,0.17,0.34,1.0,13.02,22
Aditya Birla SL Nifty Bank ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY BANK NA TRI,2413.5,0.14,55.89,12.85,15.86,21.14,10.335,20.84,503474,3.105,2.595,7.065,0.15,0.18,0.37,1.0,15.67,5
Aditya Birla SL Nifty Healthcare ETF,Equity : ETFs,Priya Sridhar,Open Ended,Nifty Healthcare Index NA TRI,35.4,0.19,14.37,16.52,19.45,15.835,10.335,20.84,116334,3.105,2.595,7.065,0.15,0.25,0.51,1.0,16.11,3
Aditya Birla SL Nifty India Defence Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,Nifty India Defence NA TRI,391.1,1.06,10.16,8.43,12.555,15.835,10.335,20.84,75144,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Nifty IT ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY IT NA TRI,29.7,0.19,37.78,9.16,6.02,15.835,10.335,20.84,375912,3.105,2.595,7.065,0.15,0.02,0.04,1.0,21.5,3
Aditya Birla SL Nifty Midcap 150 Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,Nifty Midcap 150 NA TRI,315.3,1.01,21.83,5.67,20.69,15.835,10.335,20.84,55281,3.105,2.595,7.065,0.15,0.26,0.49,1.0,17.29,3
Aditya Birla SL Nifty Next 50 ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY NEXT 50 NA TRI,128.6,0.09,67.11,1.3,15.55,22.47,10.335,20.84,134057,3.105,2.595,7.065,0.15,0.17,0.31,1.0,20.0,6
Aditya Birla SL Nifty Next 50 Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,NIFTY NEXT 50 NA TRI,199.2,0.88,15.59,8.43,14.29,15.835,10.335,20.84,134058,3.105,2.595,7.065,0.15,0.16,0.28,1.0,20.02,3
Aditya Birla SL Nifty PSE ETF,Equity : ETFs,Priya Sridhar,Open Ended,NIFTY PSE,32.1,0.2,9.73,8.43,12.555,15.835,10.335,20.84,183703,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Nifty SDL Apr 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Bhupesh Bameta,Open Ended,Nifty SDL Apr 2027 Index,3844.6,0.51,12.17,8.69,6.94,15.835,10.335,0.0,160311,1.67,1.53,6.77,0.15,0.35,0.5,0.57,2.05,3
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index FundNAReg(G),Debt : Medium to Long Duration,Mohit Sharma,Open Ended,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,9470.4,0.34,12.2,8.39,6.77,15.835,10.335,0.0,160311,1.26,1.15,6.98,0.01,0.36,0.5,0.51,1.9,3
Aditya Birla SL Nifty SDL Sep 2025 Index FundNAReg(G),Debt : Medium Duration,Bhupesh Bameta,Open Ended,Nifty SDL Sep 2025 Index,42.9,0.34,11.97,7.24,12.555,15.835,10.335,0.0,160311,0.26,0.24,6.62,0.18,1.43,1.05,0.18,0.64,2
Aditya Birla SL Nifty SDL Sep 2027 Index FundNAReg(G),Debt : Medium Duration,Harshil Suvarnkar,Open Ended,Nifty SDL Sep 2027 Index,36.3,0.5,11.9,9.35,12.555,15.835,10.335,0.0,160311,2.3,2.08,6.8,0.14,1.05,1.31,0.39,1.09,2
Aditya Birla SL Nifty Smallcap 50 Index FundNAReg(G),Equity : Index Funds,Priya Sridhar,Open Ended,Nifty Smallcap 50 NA TRI,201.2,1.01,18.91,2.62,17.98,15.835,10.335,20.84,20831,3.105,2.595,7.065,0.15,0.17,0.3,0.99,22.28,3
Aditya Birla SL Overnight FundNAReg(G),Debt : Overnight,Kaustubh Gupta,Open Ended,CRISIL Liquid Overnight Index,5253.2,0.16,1377.45,6.48,6.25,4.97,10.335,0.0,160311,0.01,0.01,7.08,0.15,2.76,0.89,0.92,0.21,6
Aditya Birla SL Pharma & Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Dhaval Shah,Open Ended,BSE Health Care NA TRI,815.0,2.34,30.0,13.51,18.55,19.55,10.335,23.0,62303,3.105,2.595,7.065,0.15,0.24,0.5,0.94,15.55,5
Aditya Birla SL PSU Equity FundNAReg(G),Equity : Thematic,Dhaval Gala,Open Ended,BSE PSU NA TRI,5342.2,1.77,31.83,8.43,28.42,31.69,10.335,13.0,146095,3.105,2.595,7.065,0.15,0.3,0.67,0.97,21.92,5
